"tweet_id";"permalink";"username";"to_person";"text";"tweet_created_dt";"retweets";"favorites";"mentions";"hashtags";"geo";"record_inserted_date";"state";"radius";"search_keyword"
"1276077143512854528";"https://twitter.com/itsdeebitches04/status/1276077143512854528";"itsdeebitches04";"KingBach";"If this cop would have done his job correctly he would have known this was not the right man!! Instead he took it upon his self to bear hug and slam this man to the ground bc he's black, that was his reasoning!! Fucking pos cops like this need to go! #BlackLivesMatter ";"2020-06-25 08:57:54";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-30 13:30:52";"District of Columbia";"200mi";"BlackLivesMatter"
"1276094177890140160";"https://twitter.com/john_rovenolt/status/1276094177890140160";"john_rovenolt";"thehill";"@john23666 @jar236671 @realDonaldTrump @GOP @blacklivesmatter @JoeBiden";"2020-06-25 10:05:35";"0";"0";"@john23666 @jar236671 @realDonaldTrump @GOP @JoeBiden";"";"";"2020-07-30 13:30:52";"District of Columbia";"200mi";"BlackLivesMatter"
"1276107014909972480";"https://twitter.com/BobbyBump/status/1276107014909972480";"BobbyBump";"katzenbrau";"One week ago they piss off Blue Lives Matter, this week they piss of Black Lives Matter. They should have sat this one on the sidelines since it’s clear their hearts were never behind the statement. #TheBronxBrewert just wanted to profit off the Black Lives Matter movement";"2020-06-25 10:56:35";"0";"1";"";"#TheBronxBrewert";"";"2020-07-29 11:02:20";"Washington, D.C";"100mi";"BlackLivesMatter"
