"tweet_id";"permalink";"username";"to_person";"text";"tweet_created_dt";"retweets";"favorites";"mentions";"hashtags";"geo";"record_inserted_date";"state";"radius";"search_keyword"
"1266107876474589184";"https://twitter.com/TonyBrownUSA/status/1266107876474589184";"TonyBrownUSA";"";"#inspiration #motivation #wisdom #georgefloyd #justiceforgeorgefloyd #icantbreathe #takeyourkneeoffournecks @Packer Park, Philadelphia https://www.instagram.com/p/CAvtDsIHmei/?igshid=mqvsk6216uvq";"2020-05-28 20:43:35";"0";"0";"";"#inspiration #motivation #wisdom #georgefloyd #justiceforgeorgefloyd #icantbreathe #takeyourkneeoffournecks";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266108278603485190";"https://twitter.com/robyn_denney/status/1266108278603485190";"robyn_denney";"";"The world we live in is so sick #BlackLivesMatter #JusticeForGeorgeFloyd";"2020-05-28 20:45:11";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter #JusticeForGeorgeFloyd";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266108657365913601";"https://twitter.com/aIexandraleighh/status/1266108657365913601";"aIexandraleighh";"OfficialRezz";"luv the song+ all but the rest of the EDM community has posted something (if not multiple posts) about #GeorgeFloyd but u haven’t+ r posting about ur pool+ ur song so i’m jw if ur going to use ur platform for good or if ur going to show privilege+ worry about publicity for a song";"2020-05-28 20:46:41";"0";"0";"";"#GeorgeFloyd";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266109186007597061";"https://twitter.com/DennisJove/status/1266109186007597061";"DennisJove";"";"“If you or I murdered #GeorgeFloyd, wouldn’t we be behind bars right now?” ";"2020-05-28 20:48:47";"0";"1";"";"#GeorgeFloyd";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266109735864078342";"https://twitter.com/PerryNiko311/status/1266109735864078342";"PerryNiko311";"dylanobpost";"Our voices deserve to be heard. Make them hear our cries of anguish and mourning. Don't let them silence us #BlackLivesMatter ";"2020-05-28 20:50:58";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266111500206440448";"https://twitter.com/livvingdeaddgrl/status/1266111500206440448";"livvingdeaddgrl";"";"I promise y’all, not all white people are racist. I love y’all and I stand with you #BlackLivesMatter #JusticeForGeorgeFloyd";"2020-05-28 20:57:59";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter #JusticeForGeorgeFloyd";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266111547866259456";"https://twitter.com/caffeinesweats/status/1266111547866259456";"caffeinesweats";"";"https://minnesotafreedomfund.org/donate if u can, pls consider donating a few dollars to help #FreeThemAll and support a fund committed to helping those set with cash bail as ransom for their free will. #BlackLivesMatter #ReleaseThemAll https://twitter.com/summerbruise69/status/1266042996576968711";"2020-05-28 20:58:10";"0";"1";"";"#FreeThemAll #BlackLivesMatter #BlackLivesMatter #ReleaseThemAll";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266111762723733504";"https://twitter.com/sir_marcell/status/1266111762723733504";"sir_marcell";"";"Official George Floyd Memorial Fund ";"2020-05-28 20:59:02";"0";"0";"";"";"";"2020-07-29 11:21:45";"District of Columbia";"100mi";"georgesfloyd"
"1266113146735005698";"https://twitter.com/ChakatSunstreak/status/1266113146735005698";"ChakatSunstreak";"silverwuffamute";"#BlackLivesMatter Quote and pass it on! ";"2020-05-28 21:04:32";"0";"3";"";"#BlackLivesMatter #BlackLivesMatter";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266113444190859270";"https://twitter.com/MichaelPRush1/status/1266113444190859270";"MichaelPRush1";"Mufaa6";"I guarantee you they’re gonna come up with similar things like the NFL did with hiring black coaches so you’re going to have at least one black officer with a white officer mandatory to keep the peace that’s how Out of touch these politicians are #GeorgeFloyd #Minneapolis";"2020-05-28 21:05:43";"0";"0";"";"#GeorgeFloyd #Minneapolis";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266113761917665282";"https://twitter.com/UcCaliChic25/status/1266113761917665282";"UcCaliChic25";"";"1/1 I’m not in any way defending the police officer that killed #GeorgeFloyd. What he did was horrible. But just as there are bad officers out there, there are also good hard working officers. Officers who go out of there way to help those who need it without any hesitation";"2020-05-28 21:06:58";"0";"1";"";"#GeorgeFloyd";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266114315880484867";"https://twitter.com/Stevergxrs/status/1266114315880484867";"Stevergxrs";"";"Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/bRzZjLDk via @Change";"2020-05-28 21:09:10";"0";"0";"@Change";"";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266114332968042496";"https://twitter.com/AlsoKnownAs_Ayo/status/1266114332968042496";"AlsoKnownAs_Ayo";"";"Rest In Peace to George Floyd";"2020-05-28 21:09:14";"0";"0";"";"";"";"2020-07-29 11:21:44";"District of Columbia";"100mi";"georgesfloyd"
"1266115026349363200";"https://twitter.com/KoKoBagginz/status/1266115026349363200";"KoKoBagginz";"";"Even when Trump tries to show empathy it comes out like frozen snot. I don’t care what anyone says this man doesn’t care about us. His comments about George Floyd were a joke. Should’ve just read them off an index card. ";"2020-05-28 21:12:00";"0";"5";"";"";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266116512814968833";"https://twitter.com/LAURIEmane/status/1266116512814968833";"LAURIEmane";"";"Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/ncS4yf95 via @Change";"2020-05-28 21:17:54";"0";"0";"@Change";"";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266116651998724096";"https://twitter.com/RealDavidFuller/status/1266116651998724096";"RealDavidFuller";"realDonaldTrump";"Why don’t you stop crying for once you’re just mad because Twitter checkmark a tweet which was inappropriately. You still happen say anything about #GeorgeFloyd which you won’t probably say ";"2020-05-28 21:18:27";"0";"0";"";"#GeorgeFloyd";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266117895286816771";"https://twitter.com/bc_ev8/status/1266117895286816771";"bc_ev8";"";"I just signed a petition to demand that the 4 police officers involved in murdered George Floyd be arrested and charged immediately. You should too: ";"2020-05-28 21:23:24";"0";"0";"";"";"";"2020-07-29 11:21:44";"District of Columbia";"100mi";"georgesfloyd"
"1266118287957667841";"https://twitter.com/LOlenyik/status/1266118287957667841";"LOlenyik";"";"some people seem to have it mixed up so let me help: you should be far more outraged about george floyd’s murder than about target being looted";"2020-05-28 21:24:57";"0";"9";"";"";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266118580539703298";"https://twitter.com/lifeofbrax/status/1266118580539703298";"lifeofbrax";"intolouse";"#blacklivesmatter ";"2020-05-28 21:26:07";"0";"2";"";"#blacklivesmatter #blacklivesmatter";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266118959935492097";"https://twitter.com/k8tastrophe/status/1266118959935492097";"k8tastrophe";"Dropdeadstacy";"ALL lives can’t matter until BLACK lives matter.";"2020-05-28 21:27:38";"0";"7";"";"";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266118962510811137";"https://twitter.com/prti_boi_/status/1266118962510811137";"prti_boi_";"";"Careful of the one who won’t speak on George Floyd but can’t stop talking about wearing Mask. Take away Floyd and put a dog in that picture and there would have been a movement of empathy that touched everybody. Selective Empathy.. and for most we STILL aren’t on the list.";"2020-05-28 21:27:38";"0";"3";"";"";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266119018441773060";"https://twitter.com/madiisonnbug18/status/1266119018441773060";"madiisonnbug18";"";"Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/5bpnb9p8 via @Change";"2020-05-28 21:27:52";"0";"0";"@Change";"";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266119084074250247";"https://twitter.com/pecktackular/status/1266119084074250247";"pecktackular";"MrAndyNgo";"Auto Zone didn’t kill George Floyd. ";"2020-05-28 21:28:07";"0";"0";"";"";"";"2020-07-29 14:26:55";"District of Columbia";"200mi";"georgesfloyd"
"1266119327926882305";"https://twitter.com/JerzyACEHood/status/1266119327926882305";"JerzyACEHood";"THEKIDMERO";"#BlackLivesMatter #JerzyACEHooD";"2020-05-28 21:29:05";"0";"0";"";"#BlackLivesMatter #BlackLivesMatter #JerzyACEHooD";"";"2020-07-29 14:14:10";"District of Columbia";"200mi";"BlackLivesMatter"
"1266120238476791811";"https://twitter.com/tpjforjudge/status/1266120238476791811";"tpjforjudge";"";"Black Lives Matter! Review the active ads of the 4 sitting judges. All white participants. Shameful! Ignoring the diversity in Montgomery CO, MD. The 4 judges have done nothing to advance African-American male diversity on the bench. Ignoring your sons.";"2020-05-28 21:32:42";"0";"1";"";"";"";"2020-07-29 11:18:31";"District of Columbia";"100mi";"BlackLivesMatter"
