text,tweet_text,lemma_tweet_text
We turned on the night light for him so he dreams about #BlackLivesMatter Plaza ,"['we', 'turned', 'on', 'the', 'night', 'light', 'for', 'him', 'so', 'he', 'dreams', 'about', 'blacklives', 'matter', 'plaza']","[""we'"", 'turn', 'of', 'and', ""the'"", 'night', 'light', 'for', 'he', 'so', 'he', 'dream', 'about', 'blacklive', 'matter', 'plaza']"
"2 of the police officers charged with aiding and abetting the murder of George Floyd were previously students in the Sociology dept. at the University of Minnesota. Yesterday, my dept. sent the grad students an email requesting we stay silent if contacted by media. Y’all. (1/n)","['2', 'of', 'the', 'police', 'officers', 'charged', 'with', 'aiding', 'and', 'abetting', 'the', 'murder', 'of', 'george', 'floyd', 'were', 'previously', 'students', 'in', 'the', 'sociology', 'dept.', 'at', 'the', 'university', 'of', 'minnesota', 'yesterday', 'my', 'dept', 'sent', 'the', 'grad', 'students', 'an', 'email', 'requesting', 'we', 'stay', 'silent', 'if', 'contacted', 'by', 'media', 'you', 'all', '1', '/n']","['2', 'of', ""the'"", 'police', 'officer', 'charge', 'with', 'aid', 'and', 'abetting', ""the'"", 'murder', 'of', 'george', 'floyd', 'be', 'previously', 'student', 'in', ""the'"", 'sociology', 'dept.', 'at', ""the'"", 'university', 'of', 'minnesota', 'yesterday', 'my', 'dept', 'send', ""the'"", 'grad', 'student', 'a', 'email', 'request', ""we'"", 'stay', 'silent', 'if', 'contact', 'by', 'media', 'you', 'all', '1', 'and']"
GRAPHIC VIDEO: @AllentownPolice held down this man’s face to the pavement and then one of its officers placed their knee on his neck!! This happened yesterday and is exactly what led to #GeorgeFloyd’s death. We need this officer’s name and badge #NOW. #ICantBreathe,"['graphic', 'video', '@', 'allentown', 'police', 'held', 'down', 'this', 'man', 'is', 'face', 'to', 'the', 'pavement', 'and', 'then', 'one', 'of', 'its', 'officers', 'placed', 'their', 'knee', 'on', 'his', 'neck', 'this', 'happened', 'yesterday', 'and', 'is', 'exactly', 'what', 'led', 'to', '#georgefloyd', ""'s"", 'death', 'we', 'need', 'this', 'officer', ""'s"", 'name', 'and', 'badge', 'now', 'icantbreathe']","[""'graphic"", 'video', ""@'"", 'allentown', 'police', 'hold', 'dow', 'and', 'this', 'man', 'be', 'face', ""to'"", ""the'"", 'pavement', 'and', 'then', 'one', 'of', 'its', 'officer', 'place', 'they', 'knee', 'on', 'he', 'neck', 'this', 'happen', 'yesterday', 'and', 'be', 'exactly', 'what', 'lead', ""to'"", 'georgefloyd', ""'s"", 'death', ""we'"", 'need', 'this', 'officer', ""'s"", 'name', 'and', 'badge', 'now', 'icantbreathe']"
Add @BTS_twt to the list of artists taking a stand against racism and supporting #BlackLivesMatter. These guys have amazing souls and hearts though so it’s no surprise. Respect fellas! ,"['add', '@', 'bts_twt', 'to', 'the', 'list', 'of', 'artists', 'taking', 'a', 'stand', 'against', 'racism', 'and', 'supporting', 'blacklivesmatter', 'these', 'guys', 'have', 'amazing', 'souls', 'and', 'hearts', 'though', 'so', 'it', 'is', 'no', 'surprise', 'respect', 'fellas']","['add', '@', 'bts_twt', ""to'"", ""the'"", 'list', 'of', 'artist', 'take', 'a', 'stand', 'against', 'racism', 'and', 'support', 'blacklivesmatter', 'these', 'guy', 'have', 'amazing', 'soul', 'and', 'heart', 'though', ""so'"", 'it', 'be', ""no'"", 'surprise', 'respect', 'fella']"
"I send deep love & heartfelt condolence to the family of #GeorgeFloyd. We love you George &amp; hate how you died. God rest your soul &amp; bring justice to the man who murdered you. On the obscene pillaging &amp; rape of our cities ongoing, I stand with @realDonaldTrump.","['i', 'send', 'deep', 'love', '&', 'heartfelt', 'condolence', 'to', 'the', 'family', 'of', 'georgefloyd', 'we', 'love', 'you', 'george', '&amp', 'hate', 'how', 'you', 'died', 'god', 'rest', 'your', 'soul', 'bring', 'justice', 'to', 'the', 'man', 'who', 'murdered', 'you', 'on', 'the', 'obscene', 'pillaging', 'rape', 'of', 'our', 'cities', 'ongoing', 'i', 'stand', 'with', '@realdonaldtrump']","['i', 'send', 'deep', 'love', '&', 'heartfelt', 'condolence', ""to'"", ""the'"", 'family', 'of', 'georgefloyd', ""we'"", 'love', 'you', 'george', '&amp', 'hate', 'how', 'you', 'die', 'god', 'rest', 'you', 'soul', 'bring', 'justice', ""to'"", ""the'"", 'man', ""who'"", 'murder', 'you', 'of', 'and', ""the'"", 'obscene', 'pillaging', 'rape', 'of', ""our'"", 'city', 'ongoing', ""i'"", 'stand', 'with', '@realdonaldtrump']"
If you have posted a black screen for #BlackOutTuesday on Instagram please remove the #/blacklivesmatter so that people who are receiving their information there can still find it. ,"['if', 'you', 'have', 'posted', 'a', 'black', 'screen', 'for', 'blackouttuesday', 'on', 'instagram', 'please', 'remove', 'the', 'blacklivesmatter', 'so', 'that', 'people', 'who', 'are', 'receiving', 'their', 'information', 'there', 'can', 'still', 'find', 'it']","['if', 'you', 'have', 'post', 'a', 'black', 'screen', 'for', 'blackouttuesday', 'on', 'instagram', 'please', 'remove', ""the'"", 'blacklivesmatter', 'so', 'that', 'people', ""who'"", 'be', 'receive', 'they', 'information', 'there', 'can', 'still', 'find', 'it']"
Live - #GeorgeFloyd Peaceful Protests in Downtown Houston ,"['live', 'georgefloyd', 'peaceful', 'protests', 'in', 'downtown', 'houston']","['live', 'georgefloyd', 'peaceful', 'protest', 'in', 'downtown', 'houston']"
We demand the arrest of ALL the officers involved in the murder of #GeorgeFloyd! #WeAreDoneDying #JusticeForGeorgeFloyd,"['we', 'demand', 'the', 'arrest', 'of', 'all', 'the', 'officers', 'involved', 'in', 'the', 'murder', 'of', 'georgefloyd', 'we', 'aredonedying', 'justice', 'forgeorge', 'floyd']","[""we'"", 'demand', ""the'"", 'arrest', 'of', 'all', ""the'"", 'officer', 'involved', 'in', ""the'"", 'murder', 'of', 'georgefloyd', ""we'"", 'aredonedying', 'justice', 'forgeorge', 'floyd']"
"I’m sorry, but as much as I want justice and peace for George Floyd and his family, that event earlier today was a DNC Convention that featured a funeral.","['i', 'am', 'sorry', 'but', 'as', 'much', 'as', 'i', 'want', 'justice', 'and', 'peace', 'for', 'george', 'floyd', 'and', 'his', 'family', 'that', 'event', 'earlier', 'today', 'was', 'a', 'dnc', 'convention', 'that', 'featured', 'a', 'funeral']","[""'i"", 'be', 'sorry', 'but', 'as', 'much', 'as', ""i'"", 'want', 'justice', 'and', 'peace', 'for', 'george', 'floyd', 'and', 'he', 'family', 'that', 'event', 'earlier', 'today', 'be', 'a', 'dnc', 'convention', 'that', 'feature', 'a', 'funeral']"
"Today, Starbucks banned their employees from representing or supporting BLACK LIVES MATTER via clothes. Today, my father opened his dream café. An East African infused shop. Support your local small black businesses! 634 S Front Street Mankato, MN 56001 ","['today', 'starbucks', 'banned', 'their', 'employees', 'from', 'representing', 'or', 'supporting', 'black', 'lives', 'matter', 'via', 'clothes', 'today', 'my', 'father', 'opened', 'his', 'dream', 'café', 'an', 'east', 'african', 'infused', 'shop', 'support', 'your', 'local', 'small', 'black', 'businesses', '634', 's', 'front', 'street', 'mankato', 'mn', '56001']","['today', 'starbuck', 'ban', 'they', 'employee', 'from', 'represent', ""or'"", 'support', 'black', 'life', 'matter', 'via', 'clothes', 'today', 'my', 'father', 'open', 'he', 'dream', 'café', 'a', 'east', 'african', 'infuse', 'shop', 'support', 'you', 'local', 'small', 'black', 'business', '634', 's', 'front', 'street', 'mankato', 'm', 'and', '56001']"
